"Source:","F:\CN\KiCad\204\md204.sch"
"Date:","2020/4/24 下午 03:15:06"
"Tool:","Eeschema 4.0.7"
"Generator:","C:/Program Files/KiCad/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","87"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"ANT1, ","1","WAN2012","WAN2012","CNlib:WAN2012","",""
"C2, C8, C9, C5, C41, C37, C36, C35, C30, C31, C1, ","11","10uF","C","Capacitors_SMD:C_0402","Unpolarized capacitor",""
"C10, C11, C39, ","3","4.7uF","C","Capacitors_SMD:C_0402","Unpolarized capacitor",""
"C17, ","1","10uF","C","Capacitors_SMD:C_0401","Unpolarized capacitor",""
"C18, C4, C12, C13, C14, C7, C15, C16, C6, C3, C20, C22, C23, C24, C25, ","15","1uF","C","Capacitors_SMD:C_0201","Unpolarized capacitor",""
"C21, C19, ","2","0.1uF","C","Capacitors_SMD:C_0201","Unpolarized capacitor",""
"C26, C29, ","2","6.8pF","C","Capacitors_SMD:C_0201","Unpolarized capacitor",""
"C27, ","1","10nF","C","Capacitors_SMD:C_0201","Unpolarized capacitor",""
"C28, ","1","NC/3.9pF","C","Capacitors_SMD:C_0201","Unpolarized capacitor",""
"C32, ","1","1.2pF","C","Capacitors_SMD:C_0402","Unpolarized capacitor",""
"C34, ","1","2.2uF","C","Capacitors_SMD:C_0201","Unpolarized capacitor",""
"C38, C40, ","2","100pF","C","Capacitors_SMD:C_0201","Unpolarized capacitor",""
"D2, ","1","18-225-B6R6C-C01/3T","LED_Dual_AACC","CNlib:Y2016_SOT-883","LED dual, 4-pin",""
"D4, D3, D5, ","3","AZ5A25","AZ5A25","Diodes_SMD:D_0603","",""
"FB2, FB1, ","2","BK1005HM750-TV(TAIYO YUDEN)","R","Capacitors_SMD:C_0201","Resistor",""
"L1, L2, L3, L4, ","4","2.2uH","L","Capacitors_SMD:C_0402","Inductor",""
"MIC1, ","1","3SM102E4T13B","3SM102E4T13B","CNlib:3S_MIC","",""
"R1, R2, R10, ","3","10k","R","Resistors_SMD:R_0201","Resistor",""
"R5, ","1","47K","R","Resistors_SMD:R_0201","Resistor",""
"R6, ","1","1K","R","Resistors_SMD:R_0201","Resistor",""
"R7, R8, R9, R11, R3, R4, ","6","0R","R","Resistors_SMD:R_0201","Resistor",""
"R12, ","1","1.3k","R","Resistors_SMD:R_0201","Resistor",""
"R13, ","1","1M","R","Resistors_SMD:R_0201","Resistor",""
"R14, ","1","330","R","Resistors_SMD:R_0201","Resistor",""
"R15, ","1","10K","R","Resistors_SMD:R_0201","Resistor",""
"R16, ","1","1k","R","Resistors_SMD:R_0201","Resistor",""
"R17, ","1","0R","R","Resistors_SMD:R_0402","Resistor",""
"T1, ","1","VCHGER","Conn_01x01","CNlib:pad_1x1mm","Generic connector, single row, 01x01",""
"T2, ","1","TX","Conn_01x01","CNlib:pad_1x1mm","Generic connector, single row, 01x01",""
"T3, ","1","RX","Conn_01x01","CNlib:pad_1x1mm","Generic connector, single row, 01x01",""
"T4, T9, ","2","GND","Conn_01x01","CNlib:pad_1x1mm","Generic connector, single row, 01x01",""
"T5, ","1","BAT+","Conn_01x01","CNlib:pad_1x1mm","Generic connector, single row, 01x01",""
"T6, ","1","BAT-","Conn_01x01","CNlib:pad_1x1mm","Generic connector, single row, 01x01",""
"T7, ","1","LN","Conn_01x01","CNlib:pad_1x1mm","Generic connector, single row, 01x01",""
"T8, ","1","LP","Conn_01x01","CNlib:pad_1x1mm","Generic connector, single row, 01x01",""
"T10, ","1","I2C_CLK","Conn_01x01","CNlib:pad_1x1mm","Generic connector, single row, 01x01",""
"T11, ","1","I2C_DATGND","Conn_01x01","CNlib:pad_1x1mm","Generic connector, single row, 01x01",""
"T12, ","1","G5","Conn_01x01","CNlib:pad_1x1mm","Generic connector, single row, 01x01",""
"T13, ","1","G6","Conn_01x01","CNlib:pad_1x1mm","Generic connector, single row, 01x01",""
"T14, ","1","touch","Conn_01x01","CNlib:pad_1x1mm","Generic connector, single row, 01x01",""
"U1, ","1","TI_BQ25101","TI_BQ25101","CNlib:Texas_DSBGA-6_2x3_0.9x1.4mm(2)","",""
"U2, ","1","BES2300Z","BES2300Z","CNlib:BES(2) BGA-80_6.2x4.5x1.3","",""
"U3, ","1","TB6018D","TB6018D","Housings_DFN_QFN:DFN-6-1EP_2x2mm_Pitch0.65mm","",""
"Y1, ","1","Y2016 26Mhz","Crystal_GND24","CNlib:Y2016_SOT-883","Four pin crystal (GND on pins 2 and 4), e.g. in SMD package",""
